Velence,Hungarian town
Emma Watson,Actress
Meg Ryan,Actress
Alan Arkin,Actor
Benedict Cumberbatch,Actor
Chris Hemsworth,Actor
Henry Cavill,Actor
Tom Hardy,Actor
Jean Dujardin,Actor
Colin Firth,Actor
Jamie Foxx,Actor
Adrien Brody,Actor
Roberto Benigni,Actor
Jeremy Irons,Actor
William Hurt,Actor
F. Murray Abraham,Actor
Richard Dreyfuss,Actor
Peter Finch,Actor
Art Carney,Actor
Cliff Robertson,Actor
Rod Steiger,Actor
Chris Pratt,Actor
Lee Marvin,Actor
Rex Harrison,Actor
Maximilian Schell,Actor
David Niven,Actor
Yul Brynner,Actor
Ernest Borgnine,Actor
Chloë Grace Moretz,Actress
Anna Kendrick,Actress
Emily Watson,Actress
Helena Bonham Carter,Actress
Keira Knightley,Actress
Alexis Thorpe,Actress
Marion Davies,Actress
Scarlett Johansson,Actress
Dakota Fanning,Actress
Jennifer Aniston,Actress
Jennifer Connelly,Actress
Rachel McAdams,Actress
Carey Mulligan,Actress
Mila Kunis,Actress
Amanda Seyfried,Actress
Jennifer Lopez,Actress
Neve Campbell,Actress
Fairuza Balk,Actress
Jessica Alba,Actress
Kristen Stewart,Actress
Julie Walters,Actress
Rooney Mara,Actress
Jamie Lee Curtis,Actress
Emma Stone,Actress
Kirsten Dunst,Actress
José Ferrer,Actor
Broderick Crawford,Actor
Ronald Colman,Actor
Fredric March,Actor
Ray Milland,Actor
Bing Crosby,Actor
Paul Lukas,Actor
Robert Donat,Actor
Paul Muni,Actor
Victor McLaglen,Actor
Charles Laughton,Actor
Wallace Beery,Actor
Kurt Russell,Actor
Lionel Barrymore,Actor
Jeff Goldblum,Actor
Warner Baxter,Actor
Emil Jannings,Actor
Chris Cooper,Actor
Jim Broadbent,Actor
James Coburn,Actor
Cuba Gooding Jr.,Actor
Martin Landau,Actor
Jack Palance,Actor
Kevin Kline,Actor
Don Ameche,Actor
Kate Beckinsale,Actress
Zooey Deschanel,Actress
Michelle Williams,Actress
Milla Jovovich,Actress
Selena Gomez,Actress
Rachel Weisz,Actress
Kristen Bell,Actress
Katherine Heigl,Actress
Liv Tyler,Actress
Jessica Chastain,Actress
Megan Fox,Actress
Betty White,Actress
Geraldine Page,Actress
Eliza Dushku,Actress
Robin Wright,Actress
Leighton Meester,Actress
Viola Davis,Actress
Shirley Temple,Actress
Julia Louis-Dreyfus,Actress
Olivia Thirlby,Actress
Cher,Actress
Penélope Cruz,Actress
Louise Fletcher,Actress
Julie Christie,Actress
Patricia Neal,Actress
Haing S. Ngor,Actor
Louis Gossett Jr.,Actor
John Gielgud,Actor
Timothy Hutton,Actor
Melvyn Douglas,Actor
Jason Robards,Actor
George Burns,Actor
John Houseman,Actor
Ethan Hawke,Actor
Ben Johnson,Actor
John Mills,Actor
Gig Young,Actor
Jack Albertson,Actor
George Kennedy,Actor
Walter Matthau,Actor
Martin Balsam,Actor
Peter Ustinov,Actor
Ed Begley,Actor
George Chakiris,Actor
Hugh Griffith,Actor
Burl Ives,Actor
Red Buttons,Actor
Anthony Quinn,Actor
Edmond O'Brien,Actor
Frank Sinatra,Actor
Anne Bancroft,Actress
Kim Novak,Actress
Simone Signoret,Actress
Ellen Page,Actress
Anna Magnani,Actress
Judy Holliday,Actress
Loretta Young,Self
Shirley Jones,Actress
Vera Farmiga,Actress
Helen Hayes,Actress
Marie Dressler,Actress
Janet Gaynor,Actress
Lupita Nyong'o,Actress
Octavia Spencer,Actress
Melissa Leo,Actress
Mo'Nique,Actress
Marlee Matlin,Actress
Tilda Swinton,Actress
Jennifer Hudson,Actress
Renée Zellweger,Actress
Marcia Gay Harden,Actress
Anna Paquin,Actress
Marisa Tomei,Actress
Mercedes Ruehl,Actress
Brenda Fricker,Actress
Jean Reno,Actor
George Sanders,Actor
Dean Jagger,Actor
Walter Huston,Actor
Edmund Gwenn,Actor
Harold Russell,Actor
Hugh Grant,Actor
Barry Fitzgerald,Actor
Charles Coburn,Actor
Van Heflin,Actor
Donald Crisp,Actor
Thomas Mitchell,Actor
Walter Brennan,Actor
Joseph Schildkraut,Actor
Keanu Reeves,Actor
Channing Tatum,Actor
Hugh Jackman,Actor
Dwayne Johnson,Actor
Adam Sandler,Actor
Daniel Radcliffe,Actor
Daniel Craig,Actor
Ryan Gosling,Actor
Vin Diesel,Actor
Ben Affleck,Producer
Chris Pine,Actor
Olympia Dukakis,Actress
Peggy Ashcroft,Actress
